Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1001.002  - ,1,2024-06-12T09:37:07+02:00,2024-06-12T09:37:10+02:00,0
T1001.002  - ,2,2024-06-12T09:37:13+02:00,2024-06-12T09:37:14+02:00,0
T1003  - ,1,2024-06-12T09:37:17+02:00,2024-06-12T09:37:17+02:00,1
T1003  - ,2,2024-06-12T09:37:19+02:00,2024-06-12T09:37:20+02:00,0
T1003  - ,3,2024-06-12T09:37:23+02:00,2024-06-12T09:37:24+02:00,0
T1003  - ,4,2024-06-12T09:37:27+02:00,2024-06-12T09:37:28+02:00,0
T1003  - ,5,2024-06-12T09:37:30+02:00,2024-06-12T09:37:31+02:00,0
T1003  - ,6,2024-06-12T09:37:33+02:00,2024-06-12T09:37:34+02:00,0
T1003  - ,7,2024-06-12T09:37:36+02:00,2024-06-12T09:37:39+02:00,0
T1003.001  - ,1,2024-06-12T09:37:41+02:00,2024-06-12T09:37:42+02:00,1
T1003.001  - ,2,2024-06-12T09:37:44+02:00,2024-06-12T09:37:46+02:00,0
T1003.001  - ,3,2024-06-12T09:37:48+02:00,2024-06-12T09:37:49+02:00,1
T1003.001  - ,4,2024-06-12T09:37:51+02:00,2024-06-12T09:37:51+02:00,1
T1003.001  - ,5,2024-06-12T09:37:54+02:00,2024-06-12T09:37:54+02:00,1
T1003.001  - ,6,2024-06-12T09:37:56+02:00,2024-06-12T09:37:57+02:00,1
T1003.001  - ,7,2024-06-12T09:37:59+02:00,2024-06-12T09:38:00+02:00,1
T1003.001  - ,8,2024-06-12T09:38:02+02:00,2024-06-12T09:38:04+02:00,0
T1003.001  - ,9,2024-06-12T09:38:07+02:00,2024-06-12T09:38:07+02:00,1
T1003.001  - ,10,2024-06-12T09:38:10+02:00,2024-06-12T09:38:18+02:00,0
T1003.001  - ,11,2024-06-12T09:38:21+02:00,2024-06-12T09:38:22+02:00,0
T1003.001  - ,12,2024-06-12T09:38:24+02:00,2024-06-12T09:38:25+02:00,0
T1003.001  - ,13,2024-06-12T09:38:28+02:00,2024-06-12T09:38:29+02:00,0
T1003.001  - ,14,2024-06-12T09:38:31+02:00,2024-06-12T09:38:32+02:00,1
T1003.002  - ,1,2024-06-12T09:38:34+02:00,2024-06-12T09:38:34+02:00,0
T1003.002  - ,2,2024-06-12T09:38:37+02:00,2024-06-12T09:38:37+02:00,1
T1003.002  - ,3,2024-06-12T09:38:39+02:00,2024-06-12T09:38:47+02:00,0
T1003.002  - ,4,2024-06-12T09:38:49+02:00,2024-06-12T09:38:50+02:00,0
T1003.002  - ,5,2024-06-12T09:38:52+02:00,2024-06-12T09:38:53+02:00,1
T1003.002  - ,6,2024-06-12T09:38:55+02:00,2024-06-12T09:38:56+02:00,0
T1003.002  - ,7,2024-06-12T09:38:58+02:00,2024-06-12T09:39:02+02:00,0
T1003.003  - ,1,2024-06-12T09:39:05+02:00,2024-06-12T09:39:05+02:00,2
T1003.003  - ,2,2024-06-12T09:39:08+02:00,2024-06-12T09:39:08+02:00,0
T1003.003  - ,3,2024-06-12T09:39:10+02:00,2024-06-12T09:39:11+02:00,1
T1003.003  - ,4,2024-06-12T09:39:13+02:00,2024-06-12T09:39:14+02:00,0
T1003.003  - ,5,2024-06-12T09:39:16+02:00,2024-06-12T09:39:17+02:00,0
T1003.003  - ,6,2024-06-12T09:39:20+02:00,2024-06-12T09:39:20+02:00,0
T1003.003  - ,7,2024-06-12T09:39:23+02:00,2024-06-12T09:39:30+02:00,0
T1003.003  - ,8,2024-06-12T09:39:33+02:00,2024-06-12T09:39:33+02:00,0
T1003.003  - ,9,2024-06-12T09:39:35+02:00,2024-06-12T09:39:36+02:00,1
T1003.004  - ,1,2024-06-12T09:39:38+02:00,2024-06-12T09:39:38+02:00,1
T1003.005  - ,1,2024-06-12T09:39:41+02:00,2024-06-12T09:39:41+02:00,0
T1003.006  - ,1,2024-06-12T09:39:43+02:00,2024-06-12T09:39:43+02:00,1
T1003.006  - ,2,2024-06-12T09:39:46+02:00,2024-06-12T09:39:46+02:00,0
T1005  - ,1,2024-06-12T09:39:49+02:00,2024-06-12T09:39:54+02:00,0
T1006  - ,1,2024-06-12T09:39:57+02:00,2024-06-12T09:39:57+02:00,0
T1007  - ,1,2024-06-12T09:40:00+02:00,2024-06-12T09:40:01+02:00,0
T1007  - ,2,2024-06-12T09:40:03+02:00,2024-06-12T09:40:03+02:00,0
T1010  - ,1,2024-06-12T09:40:06+02:00,2024-06-12T09:40:07+02:00,0
T1012  - ,1,2024-06-12T09:40:09+02:00,2024-06-12T09:40:36+02:00,1
T1012  - ,2,2024-06-12T09:40:38+02:00,2024-06-12T09:40:46+02:00,0
T1012  - ,3,2024-06-12T09:40:48+02:00,2024-06-12T09:42:50+02:00,-1
T1016  - ,1,2024-06-12T09:42:52+02:00,2024-06-12T09:42:53+02:00,0
T1016  - ,2,2024-06-12T09:42:55+02:00,2024-06-12T09:42:56+02:00,0
T1016  - ,3,2024-06-12T09:42:59+02:00,2024-06-12T09:43:23+02:00,1
T1016  - ,4,2024-06-12T09:43:26+02:00,2024-06-12T09:43:27+02:00,0
T1016  - ,5,2024-06-12T09:43:30+02:00,2024-06-12T09:43:30+02:00,1
T1016  - ,6,2024-06-12T09:43:33+02:00,2024-06-12T09:43:58+02:00,0
T1016  - ,7,2024-06-12T09:44:00+02:00,2024-06-12T09:44:01+02:00,0
T1016.002  - ,1,2024-06-12T09:44:03+02:00,2024-06-12T09:44:03+02:00,1
T1018  - ,1,2024-06-12T09:44:05+02:00,2024-06-12T09:44:54+02:00,2
T1018  - ,2,2024-06-12T09:44:57+02:00,2024-06-12T09:44:57+02:00,2
T1018  - ,3,2024-06-12T09:45:00+02:00,2024-06-12T09:45:09+02:00,0
T1018  - ,4,2024-06-12T09:45:12+02:00,2024-06-12T09:47:13+02:00,-1073741502
T1018  - ,5,2024-06-12T09:47:16+02:00,2024-06-12T09:47:16+02:00,0
T1018  - ,6,2024-06-12T09:47:19+02:00,2024-06-12T09:47:41+02:00,0
T1018  - ,7,2024-06-12T09:47:43+02:00,2024-06-12T09:47:44+02:00,1
T1018  - ,8,2024-06-12T09:47:46+02:00,2024-06-12T09:47:47+02:00,1
T1018  - ,9,2024-06-12T09:47:49+02:00,2024-06-12T09:47:50+02:00,1
T1018  - ,10,2024-06-12T09:47:52+02:00,2024-06-12T09:47:53+02:00,0
T1018  - ,11,2024-06-12T09:47:55+02:00,2024-06-12T09:47:56+02:00,0
T1018  - ,12,2024-06-12T09:47:59+02:00,2024-06-12T09:48:00+02:00,0
T1018  - ,13,2024-06-12T09:48:02+02:00,2024-06-12T09:48:06+02:00,0
T1018  - ,14,2024-06-12T09:48:08+02:00,2024-06-12T09:48:14+02:00,-2146233087
T1018  - ,15,2024-06-12T09:48:16+02:00,2024-06-12T09:48:17+02:00,2
T1018  - ,16,2024-06-12T09:48:20+02:00,2024-06-12T09:48:20+02:00,0
T1020  - ,1,2024-06-12T09:48:23+02:00,2024-06-12T09:48:24+02:00,0
T1020  - ,2,2024-06-12T09:48:27+02:00,2024-06-12T09:48:34+02:00,0
T1021.001  - ,1,2024-06-12T09:48:37+02:00,2024-06-12T09:48:37+02:00,0
T1021.001  - ,2,2024-06-12T09:48:40+02:00,2024-06-12T09:48:43+02:00,0
T1021.001  - ,3,2024-06-12T09:48:48+02:00,2024-06-12T09:48:48+02:00,0
T1021.001  - ,4,2024-06-12T09:48:55+02:00,2024-06-12T09:48:56+02:00,0
T1021.002  - ,1,2024-06-12T09:48:58+02:00,2024-06-12T09:49:04+02:00,2
T1021.002  - ,2,2024-06-12T09:49:06+02:00,2024-06-12T09:49:07+02:00,0
T1021.002  - ,3,2024-06-12T09:49:09+02:00,2024-06-12T09:49:09+02:00,1
T1021.002  - ,4,2024-06-12T09:49:12+02:00,2024-06-12T09:49:12+02:00,0
T1021.003  - ,1,2024-06-12T09:49:14+02:00,2024-06-12T09:49:16+02:00,0
T1021.003  - ,2,2024-06-12T09:49:18+02:00,2024-06-12T09:49:19+02:00,0
T1021.006  - ,1,2024-06-12T09:49:21+02:00,2024-06-12T09:49:23+02:00,1
T1021.006  - ,2,2024-06-12T09:49:25+02:00,2024-06-12T09:49:29+02:00,1
T1021.006  - ,3,2024-06-12T09:49:35+02:00,2024-06-12T09:49:35+02:00,0
T1027  - ,1,2024-06-12T09:49:38+02:00,2024-06-12T09:49:39+02:00,0
T1027  - ,2,2024-06-12T09:49:41+02:00,2024-06-12T09:49:42+02:00,0
T1027  - ,3,2024-06-12T09:49:45+02:00,2024-06-12T09:49:45+02:00,1
T1027  - ,4,2024-06-12T09:49:48+02:00,2024-06-12T09:49:51+02:00,0
T1027  - ,5,2024-06-12T09:49:53+02:00,2024-06-12T09:49:56+02:00,0
T1027  - ,6,2024-06-12T09:49:59+02:00,2024-06-12T09:49:59+02:00,0
T1027  - ,7,2024-06-12T09:50:02+02:00,2024-06-12T09:50:02+02:00,0
T1027  - ,8,2024-06-12T09:50:04+02:00,2024-06-12T09:50:05+02:00,0
T1027  - ,9,2024-06-12T09:50:08+02:00,2024-06-12T09:50:08+02:00,1
T1027.004  - ,1,2024-06-12T09:50:10+02:00,2024-06-12T09:50:11+02:00,0
T1027.004  - ,2,2024-06-12T09:50:13+02:00,2024-06-12T09:50:14+02:00,0
T1027.006  - ,1,2024-06-12T09:50:17+02:00,2024-06-12T09:50:17+02:00,0
T1027.007  - ,1,2024-06-12T09:50:20+02:00,2024-06-12T09:50:29+02:00,0
T1030  - ,1,2024-06-12T09:50:31+02:00,2024-06-12T09:50:32+02:00,1
T1033  - ,1,2024-06-12T09:50:34+02:00,2024-06-12T09:50:35+02:00,2
T1033  - ,2,2024-06-12T09:50:37+02:00,2024-06-12T09:50:40+02:00,1
T1033  - ,3,2024-06-12T09:50:43+02:00,2024-06-12T09:50:43+02:00,0
T1033  - ,4,2024-06-12T09:50:46+02:00,2024-06-12T09:50:46+02:00,0
T1033  - ,5,2024-06-12T09:50:49+02:00,2024-06-12T09:50:50+02:00,0
T1033  - ,6,2024-06-12T09:50:52+02:00,2024-06-12T09:50:52+02:00,1
T1036  - ,1,2024-06-12T09:50:55+02:00,2024-06-12T09:51:00+02:00,0
T1036  - ,2,2024-06-12T09:51:03+02:00,2024-06-12T09:51:04+02:00,0
T1036.003  - ,1,2024-06-12T09:51:07+02:00,2024-06-12T09:53:07+02:00,0
